name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
Peter Caesar Alberti Marker,"Alberti, Peter Caesar",12,Y,Manhattan,Battery Park,M005,1,1,Perimeter of park on Battery Place between Greenwich and Washington Streets,Y,"Original: June 2, 1958; rededicated ca. 1985",ca. 1985 (replica),Marker on plinth,"Front H: 4""; Rear H: 1'2"" W: 1'8"" D: 1'4"" (all approximate)",,Granite,,A. Ottavino Corp.,,,Italian Historical Society of America (original),,,,,Y,,,,Immigration,,979744.5565711409,196001.71237705648
Recorder,Recorder,1315,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, beside center window in attic",Y,1903,ca. 1903,half-reclining male figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Isham Park Benches,,2097,Y,Manhattan,,M043,12,7,Broadway and 212th Street,Y,,,"Four benches, two are engraved",,,Granite,,,,,,,,,,Y,,,,,,1006759.3693393022,255776.74112072587
McCarren Park World War I Memorial,,996,Y,Brooklyn,McCarren Park,B058,1,33,MCNULTY SQUARE; Union and Driggs Aves.,N,"5/27/23, plaque 10/10/26",,"iron cannon, brnz tablet - scrap 1942",,,"iron, bronze",,,,,"t.r. mcnulty post, #452 amer legion",,,,,,,,,"War Memorial, World War I",,,
Electrolier,electrolier,444,Y,Manhattan,,,0,0,,N,,,,,,,,,,,,,,,,,,,,,,,
History,History,728,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic",Y,1902,ca. 1902,half-reclining male figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Carolus Linnaeus,,921,Y,the Bronx,Pelham Parkway,X003,11,13,Pelham Parkway opposite Zoological Park entrance,N,"May 23, 1907",,Balustraded bridge with tablet,"H:1'6"" W: 2'",,"Limestone, bronze",Tiffany Studios,,Tiffany Studios,,New York Academy of Science,,,,,N,,,,Scientist/Inventor,,,
Westchester Square Cannon,,1697,Y,the Bronx,,X016,9,26,OWEN DOLAN PARK; E. Tremont and Westchester Aves,N,,,Captured cannon ; see Westch Sq. Memorial,,,,,,,,,,,,,,,,,"War Memorial, World War I",,,
John Burroughs,,198,N,Manhattan,,,3,2,P.S. 188; Lewis and Houston Streets,Y,1914,,bust,,,bronze,,,Sciarrina Caraino Pietro,,gift,,,,,,,,,Sculpture,,,
"John Hansborough, Jr. Sign","Hansborough, John Rozier, Jr.",1812,Y,Manhattan,Hansborough Gymnasium and Public Bath,M131,10,9,35 W 134 ST; left side of west entrance,N,"September 22, 1990",August 1990,Sign,H: 14' W: 20',,Paint on board,,,,,DPR,,,,,,,,,"Public Servant, Civic Leader",,1000141.2966174781,235902.383887887
New York In Revolutionary Times,New York In Revolutionary Times,1108,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street entrance",Y,1907,ca. 1907,group of one male and two female figures (heroic scale) on pedestal,,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Patrolman John J. Fraser Memorial Plaque,"Fraser, John Justin",551,Y,Brooklyn,Fraser Square,B173,18,46,"Being moved to storage at Olmsted due to capital project (2004); TBD, will be relocated and placed on granite pedestal sometime after project ends",M,ca. 1935,ca. 1935,Plaque set in ground,,,Bronze,,,,,"Greater New York Police Post No. 1999, Veterans of Foreign Wars of the United States",,,,,,,,,"Public Servant, Policeman",,,
Conference House Tablet,conference house tablet,316,Y,Staten Island,Conference House Park,R006,3,51,Foot of Hylan Boulevard,Y,1929,,Tablet on wall,"H: 1'2"" W: 1'",,Bronze,,,,,Gift of the Richmond Chapter of the Daughters of the American Revolution,,,,,Y,,,,"Revolutionary War, War Memorial",,913764.3338730484,122658.58741006255
song of achievement,,1470,N,the Bronx,,,4,17,,Y,,,,,,,,,,,,,,,,,,,,,,,
riverside park monument list,,1352,Y,Manhattan,,M071,0,0,RIVERSIDE PARK; Park Number M-71: Hudson River from 72nd St to 135th StPark Number M-72: Hudson River from 135th St to 158th St,M,,,,,,,,,,,,,,,,,,,,,,,
Jackie Robinson,"Robinson, Jackie",1356,Y,Manhattan,Jackie Robinson Park,M014,10,7,West 147th St. and Bradhurst Avenue,Y,"November 10, 1981",1981,"Bust, two plaques",,,Bronze,"Modern Art Foundry, Inc.",,Ruth Inge Hardison,,"NYC Department of Cultural Affairs' Community Arts, funded by US Department of HUD",,,,,Y,,,,Athlete,,1000278.7605813891,239729.0392923057
Kate Wollman Memorial Skating Rink,,1722,Y,Brooklyn,Prospect Park,B073,0,39,Concert Grove,N,1961,,"Plaque on building wall, lft of entrance","H: 15"" W"" 22""",,Bronze,,,,,,,,,,,,,,,,994007.9880179763,178835.89992398024
Harold E. Butternick,"butternick, harold e.",203,N,Manhattan,,,7,6,"COMMERCE HIGH SCHOOL; 65th Street, between 8 and 7th Avenues",Y,1927,,tablet,,,bronze,,,"Allen G, Newman",,gift,,,,,,,,,Sculpture,,,
Dante Alighieri,Dante Alighieri,363,Y,Manhattan,Dante Park,M020,7,6,Broadway & 63rd Street,Y,1921,ca 1921,Standing figure (over life-size) on pedestal,"H: 25'7"" W: 16'4"" D: 16'4""",CPF/SF; CMCP,Figure and leaves--bronze; Pedestal--North Jay granite,,Denigris Brothers (pedestal),Ettore Ximenes,Warren and Wetmore,Gift of Citizens of Italian Descent,,,,,Y,,09/14/2021,,"Sculpture, Writer",,989080.5674266368,220451.23598447442
Lilian Wald,,1644,Y,Manhattan,Lillian D. Wald Playground,M064,3,1,"Cherry, Monroe and Gouverner Streets",Y,1937,,Plaque on wall,"2'8 ½""h x 2' 8 ½""w",,Bronze,,,,,,,,,,Y,,,,"Women, Civic Leader",,988671.5987563878,198674.99804097414
Archimedes,Archimedes,1851,N,Brooklyn,,,0,0,"Brooklyn Technical High School, Flatbush Avenue and Concord Street",Y,1934,1934,relief plaque,,,,,,W. Bimel Kehm,,,,,,,,,,,,,,
Frances J. & John E. Mellett,,1011,Y,Brooklyn,Mellett Playground,B197,15,48,Avenue V between East 13th and 14th Streets,S,"April 22, 1951",,Shield shape plaque,"H: 15 1/8"" W: 11 ½""",,Bronze,,,John R. Terken,,"Mellet Brothers Post #1407, American Legion",,,,,,,,,"World War II, War Memorial",,,
Shelter Pavilion Plaque,Shelter Pavilion Plaque,1819,Y,Brooklyn,Monsignor McGolrick Park,B114,1,33,near Shelter Pavilion,N,ca. 1982,ca. 1982,Plaque set in ground,,,,,,,,,,,Monsignor McGolrick Comfort Station Plaque,,Y,,,,,,999998.11678572,203217.71566155553
"Physicians, Surgeons and Nurses",,1182,Y,Manhattan,Riverside Park,M071,9,6,Riverside Drive at 121st Street,M,1956,,Tablet on plinth,"H: 2' W: 1'10""",,Bronze,,,,,"Daughters of the Defenders of the Republic, U.S.A.",,,,,,,,,"War Memorial, Physician",,994348.6956698895,235141.72071106732
Riverside Drive Extension,,1347,Y,Manhattan,Riverside Park,M072,0,7,Riverside Drive at 152nd Street; lower level under overlook,N,1910,,Tablet on exterior wall - Stolen,"1'3""h x 4' 6 ½""w",,Bronze,,,,,,,,,,,,,,,,989790.3429099768,227485.56017039716
Grant's Tomb -D.A.R. Flagstaff,,615,Y,Manhattan,Riverside Park,M071,0,9,"GRANT'S TOMB, riverside drive at 122nd st",S,1897,,"Emblem curved to fit pole, in storage","15"" x 16""",,Bronze,,,,,d.a.r.,,,,,,,,,,,,
public school #6,,1272,N,Manhattan,,,8,4,MADISON AVE AND 85TH ST,Y,1922,,tablet and frame,,,"bronze, oak",j. & r. lamb,,,,"gift, $200",,,,,,,,,,,,
"Ruth, Babe Memorial",,1386,Y,the Bronx,Keltch Memorial Park,X058,4,14,BABE RUTH MEMORIAL STADIUM; Macombs Dam Rd. and Jerome Avenue,N,appr. art commission 4/11/49,,"Paque - stolen, 1975","18 ½""h x 24 ½""w",,Bronze,,,,,dem. cnty comitee of bronx county,,,,,,,,,Athlete,,,
metropolitan hospital tablet,,1023,N,Manhattan,,,0,0,,M,,,,,,,,,,,,,,,,,,,,,,,
David Pietersen De Vries,"De Vries, David Pietersen",371,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, first from left",Y,1904,ca. 1904,standing figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"Dongan, Thomas",,394,N,Staten Island,,,1,49,PORT RICHMOND HIGH SCHOOL; Innis St. and St. Joseph Avenue,Y,,,plaque,,,bronze,,,Clara Fasano,,,,,,,,,,,,,,
Ogden Avenue Playground Sculpture,,1130,Y,the Bronx,,X148A3,4,16,"South of Washington Bridge, near Boscobel Place on Ogden Avenue",M,,,Modern steel on navy blue painted pavement,"H: 128 ½"" W: 56 ½"" D: 6""",,Cor-Ten steel,,,,,,,,,,,,,,,,,
Coast Guard Memorial,Coast Guard Memorial,277,Y,Manhattan,Battery Park,M005,1,1,Not presently accessible; under construction.,Y,"May 30, 1955",1947,"Group of three figures (heroic scale), integral plinth, on pedestal","Group H: 8'10""; Pedestal H: 5'8"" W: 5'3"" D: 3'4""",CMCP,"Bronze, Deer Isle granite","Capital Products Inc., Long Island City",,Norman M. Thomas,,United States Coast Guard,,,,,Y,,10/04/2021,,"Sculpture, Soldier, War Memorial, World War II",,980384.2235988826,194763.9733827263
public school #66,,1273,N,Manhattan,,,0,0,"AMSTERDAM AVE,; 108th and 109th Streets",Y,1910,,tablet with frame,,,brass and oak,j.&r. lamb,,,,gift. $60.,,,,,,,,,,,,
Washington Kill Von Kull Plaque,,1678,Y,Staten Island,Faber Park,R008,1,49,FABER PARK POOL ENTRANCE; Richmond Terrace between Faber and Sharpe Avenues,Y,"November 5, 1932",,Tablet on boulder,"H: 14"" W: 20""",NYCDPR Capital,"Bronze, natural boulder",,,,,"staten island chptr, d.a.r.",,Masterworks Plaques,,,Y,,,,US President,,946639.8153660595,172668.6458543092
Holocaust Memorial Mall,Holocaust Memorial Mall,1896,Y,Brooklyn,Cherry Mall,BT10,15,48,Sheepshead Bay; West End Ave. betw. Shore Blvd. & Emmons Ave.,Y,"June 22, 1997",ca. 1997,"Tower consisting of brickwork partially concealing fourteen vertical bars supporting crown with beacon at top, three-tiered base, horizontal marker, approximately one hundred rough-hewn varisized vertical markers, two evergreen trees, evergreen shrubs",Horizontal marker L: 21',,Brickwork--stone; bars (and crown?)--steel (rusticated); beacon--bronze; base and markers--granite,,,,George P. Vellonakis,Brooklyn Borough President's Office,,,,,Y,,,697000.00,Holocaust,,997111.7009706348,151501.47427797318
grant memorial tablet,,612,N,Manhattan,,,0,0,,N,,,,,,,,,,,,,,,,,,,,,,,
Industry,Industry,776,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Elk Street elevation, beside center window in attic",Y,1903,ca. 1903,seated male figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
washington bridge,,1651,N,Manhattan,,,12,7,GEORGE WASHINGTON BRIDGE; w. 181st st. off amsterdam,Y,"February, 1889",,tablets (2),,,bronze,,,,,,,,,,,,,,,,,
"Riis, Jacob A.",,1344,N,Queens,Jacob Riis Park,Q049,18,46,,N,1941,,"bust, pedestal - bust stolen 6/13/64","8'hx1'8""w x1'8""d;bst 1'9 ½""h",,"bronze, westerly gray granite",,,,,,,,,,,,,,,,,
little neck world war memorial,,931,N,Queens,,,0,0,,Y,,,,,,,,,,,,,,,,,,,,,,,
Washington's Headquarters,,1662,Y,Manhattan,Roger Morris Park,M073,12,7,Edgecomb Avenue and 160th St.,S,"December 28, 1903",,Tablet,2 ½'h x 3 ½'w,,Bronze,,,,,,,,,,,,,,,,,
Diving Girls,Diving Girls,388,Y,Queens,Astoria Park,Q004,1,22,"Astoria Pool, promenade above entrance",N,1937,1937,two female figures,,,stainless steel,,,Emil Siebern,,,,,,,,,,,,,,
Civic Fame,,256,N,Manhattan,,,1,1,MUNICIPAL BUILDING/TOWER; Chambers and Center Streets,Y,1913,,statue,,,bronze,,,Adolph Alexander Weinman,,purchase,,,,,,,,,Sculpture,,,
McCray Memorial,,1000,Y,Manhattan,William McCray Playground,M110,10,9,W. 138th St. between Lenox and 5th Avenues,M,1934,,Plaque,"H: 2' W: 1'2""",,Bronze,,,,,Residents of New York City,,,,,,,,,"World War I, War Memorial",,1001476.6121883094,236422.34380598366
Riverside Drive Viaduct,,1350,Y,Manhattan,Riverside Park,M071,0,7,Riverside Drive at 125th Street - 1 tablet at each end of viaduct,M,,,Tablets (2),"H: 2'9"" W: 4'5""",,Bronze,,,,,,,,,,,,,,,,995244.3579205573,237257.2282910645
Wall Street Fountain,,2142,Y,Manhattan,,,1,1,130 Liberty Street,Y,"November 16, 2007",,Ornamental fountain,"H (from pavement): 6'7""; H (from lowest basin): 7'5""; D (outer): 18' 9.5""; D (inner): 15' 9.5""",,Glass,,,,George Vellonakis,DEUTSCHE BANK,,,,,,,,,,,982476.343430385,195959.1911366433
Major John W. Mark,,980,Y,Queens,Major John W. Mark Park,Q025,12,27,Hillside Avenue and 173rd Street,M,,,Tablet on flagpole,,,,,,,,,,,,,,,,,"Civil War, War Memorial",,,
"ord, edward otho, cresap",,1143,N,Manhattan,Riverside Park,M071,0,9,"GRANTS TOMB, riverside drive, 122nd st",N,1938,,"bust, 1 of 500 in crypt bays","2'6""h",,bronze,,,j. juszko,,works progress adminstration,,,,,,,,,,,,
Cupids with Tablets,,358,N,Manhattan,,,1,1,MUNICIPAL BUILDING; Chambers and Center Streets,Y,1913,,relief,,,Maine granite,,,Adolph Alexander Weinman,,purchase,,,,,,,,,,,,
Morris-Jumel Mansion,,1062,Y,Manhattan,Roger Morris Park,M073,12,7,SYLVAN TERRACE AND JUMEL TERR.; Right gatepost,S,"April 16, 1959",,Plaque,"15""h x 23""w",,Cast aluminum,,,,,n.y. community trust,,,,,,,,,,,,
Riverside Drive Extension,,1346,Y,Manhattan,Riverside Park,M071,0,7,Riverside Drive Viaduct at 135th Street,M,1908,,Tablet,"H: 2' W: 4'6""",,Bronze,,,,,,,,,,,,,,,,996020.1037443876,238583.38180673122
USS New Hampshire,,1605,Y,Manhattan,Riverside Park,M072,0,7,152nd Street and Riverside Drive,M,1912,,Tablet,,,Bronze,Gorham Co.,,,,Gift $150,,,,,,,,,,,,
"Hooper Fountain, Brooklyn",,742,Y,Brooklyn,,,6,33,FLATBUSH AVE. & 6TH AVE.,N,1896,,Basin with lantern,lantern 15'h,,"Granite, bronze",,,,George Martin Huss,"John Hooper, $5000 (see manh.)",,,,,,,,,,,,
Washington's Headquarters,,1661,Y,Manhattan,Roger Morris Park,M073,12,7,Edgecomb Ave at 160th St.;,S,"June 2, 1900",,Tablet,"2'6""h x 3'w",,"Bronze, oak frame",,,,,wash hgts chapt. d.a.r.,,,,,,,,,"War Memorial, Revolutionary War",,,
"turner, peter",,1580,N,Brooklyn,,,2,33,ST. JAMES CHURCH; jay and chapel Streets,Y,1895,,bust,,,,,,william clarke noble,,school childn; cath hist socty,,,,,,,,,,,,
Industry,Industry,777,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, third from left",Y,1905,ca. 1905,seated male figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
James J. Shepard,,1436,N,Manhattan,,,7,6,HIGH SCHOOL OF COMMERCE; 65th and 66th st. w. of broadway,Y,1918,,tablet,,,bronze,,,Allen G. Newman,,gift $550.,,,,,,,,,,,,
li hung chang,,902,Y,Manhattan,,,0,0,,N,,,,,,,,,,,,,,,,,,,,,,,
newtown high school,,1114,N,Queens,,,7,20,"NEWTOWN HIGH SCHOOL; chicago av, gerry st, elmhurst l.i.",Y,1927,,tablet,,,bronze,tiffany studio,,,,gift $2000.,,,,,,,,,,,,
Woodhaven Honor Roll,,1726,Y,Queens,Forest Park,Q015,16,30,FOREST PARK; Opposite golf house,M,1919,,"Stele, tablet",see memo,,Deer Isle granite,,,,,"Citizens of Woodhaven $1,400",,,,,,,,,"World War I, War Memorial",,,
New Dorp Beach Memorial,,1099,N,Staten Island,,,0,0,"MILLER FIELD, MOVED FROM (Gateway National Recreation Area); Park at New Dorp Lane, Cedar Grove Avenue, 1976",Y,,,Tablet on boulder,,,,,,,,,,,,,,,,,"World War II, War Memorial",,,
"lewis, le roy tablet",,900,N,Brooklyn,,,0,0,BROOKLYN,Y,,,,,,,,,,,,,,,,,,,,,,,
Medicine,Medicine,1010,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, chief cornice, second from left",Y,1905,ca. 1905,standing female figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Captain James Miller,,1039,N,Staten Island,,,2,50,"Miller Field (Gateway National Recreation Area), New Dorp",M,1924,,Tablet,,,Bronze,,,,,,,,,,,,,,"World War I, War Memorial",,,
"tripp, mary",,1571,N,Brooklyn,,,0,0,CANARSIE - P.S. 114; remsen Avenue and Avenue f,Y,,,tablet,,,bronze,gorham co.,,,,gift. $94.,,,,,,,,,,,,
Bensonhurst Park Flagstaff,Bensonhurst Park Flagstaff,112,Y,Brooklyn,Bensonhurst Park,B007,11,47,"Flagpole Base; Shore Pkwy., Bay Pkwy. and Cropsey Avenue",N,,,Honor roll,,,Bronze,,,,,,,,,,,,,,"War Memorial, World War II",,,
Van Cortlandt Landmark Tablet,,1609,Y,the Bronx,Van Cortlandt Park,X092,0,11,Van Cortlandt House,Y,"October 21, 1969",,Tablet on plinth,"H: 16 ½"" W: 18""",,"Bronze, cast stone",,,,,Gift,,,,,Y,,,,,,1013317.1406725496,263896.7635945529
Eagles,,424,N,Manhattan,,,1,1,MUNICIPAL BUILDING; Center and Chambers Streets,Y,1912,,keystone,,,granite,,,Adolph Alexander Weinman,,purchase,,,,,,,,,,,,
Philip H. Sheridan,,1438,O,Manhattan,Riverside Park,M071,0,9,"GRANTS TOMB, Riverside Drive at 122nd St.",Y,1938,,bust (1 of 5 in indvid. bays in crypt),"2'6""h",,bronze,,,a.w. mues,,wpa,,,,,,,,,,,,
Jumel Mansion Tablet,,828,Y,Manhattan,Roger Morris Park,M073,12,7,"Attic, Morris-Jumel Mansion; Edgecomb Avenue at 160 St",M,1903,,"2 tablets, in storage 1976","H: 2'6"" W: 3'",,Bronze and oak frame,,A.V. Johnson Co,,,purchase,,,,,,,,,,,,
Jackie Robinson Recreation Center Reliefs,,2222,Y,Manhattan,,M014,9,9,"""Girls with Turtles"" and ""Girls with Frogs"" located in the main entrance above the womens and mens archways, respectively; ""Sailboat"" and ""Surfboard"" on south and north walls of the main lobby, respectively.",Y,c. 1936,,Four bas reliefs,"Girls with Turtles: 30"" x 36""; Girls with Frogs: 30"" x 36""; Sailboat: 18"" x 27""; Surf board: 18"" x 27""",Works Progress Administration (WPA),,,,Antonio De Filippo,,,,,,,Y,,,,"Animal: other, Juvenile",,,
Hebrew Prophet,,695,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,Brooklyn Museum; Eastern Parkway,Y,1909,,Statue,,,Indiana limestone,,,Henry Augustus Lukeman,,Purchase,,,,,,,,"$3,000",,,,
Tree of Hope,,1569,Y,Manhattan,,M096,10,9,Center median on Adam Clayton Powell Blvd. at West 131 Street,Y,"November 4, 1934",,Plaque dedicating original Tree of Hope (tree is no longer extant); in front of the Tree of Hope III sculpture by Algernon Miller,"H: 13"" W: 16""",,Bronze,,Gregg LeFevre (replacement),,,"Bill ""Bojangles"" Robinson (original); Lloyd A. Williams",,,,,Y,05/15/2007,06/23/2007,,Composer/Musician,,,
Armenian Grove Plaque,Armenian Grove Plaque,48,Y,Manhattan,Union Square Park,M089,5,2,Northeast corner,Y,"April 24, 1985",ca. 1985,Plaque set in ground,"Plaque H: 1' W: 1'6""",,Bronze,,,,,Diocese of the Armenian Church of America,,,,,Y,,,,,,987199.6669889688,207623.1350003034
Tree of Hope III,,1570,Y,Manhattan,,M096,10,9,Adam Clayton Powell Blvd. at 131st Street,Y,"October, 1972",,Polychrome sculpture,H: 8',,"Steel, painted",,,Algernon Miller,,Gift of the Artist,,,,,Y,,,,"Sculpture, Abstract, Composer/Musician",,999348.9081103802,235447.0826331377
Double Sun,,2179,Y,Brooklyn,,B058,1,33,McCarren Park Pool Play Center at Bayard and Lorimer Streets,Y,2016,,white and grey trompe l'oeil mural on archway entry of McCarren Park Pool Play Center,4 34' x 8' Walls,,stucco substrate and commercial exterior latex paint,,,Mary Temple,,Percent for Art,,,,,Y,09/12/2016,,,,,998126.2081279755,201644.7283219695
Merchant Marine Tablet,,1019,Y,Manhattan,Vietnam Veterans Plaza,M046,1,1,,M,,,"see ""lookout"", seamans church inst.","august, 1923",,,,,,,,,,,,,,,,,,,
Justice,Justice,1894,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, first from left",Y,1905,ca. 1905,female figure (heroic scale),,,Westerly granite,,,Philip Martiny,,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
Public School #68,,1274,N,Manhattan,,,10,9,128TH ST. BTWN LENOX AVE AND; 7th Avenue,Y,1909,,,,,bronze,,,,,gift,,,,,,,,,,,,
German Cannon Tablet,,583,Y,Brooklyn,Beattie Triangle,B006,3,34,"Brooklyn War Memorial, inside auditorium, west side exhibit",S,1924,,Plaque,"Tablet H:1'6"" W: 2'6""; Plinth H: 2'5"" W: 2'7""",,Bronze,,,,,"Joseph S. Beattie Post No. 310, Veterans of Foreign Wars of the United States",,,,,,,,,"World War I, War Memorial",,,
Sculptured Decorations,,1413,O,Brooklyn,Prospect Park,B073,0,39,Prospect Park Zoo,Y,,,Carved panels,,,Limestone,,,,,,,,,,,,,,,,,
East 107th Street Recreational Pier,East 107th Street Recreational Pier,1919,Y,Manhattan,East River Esplanade,M108T01,11,8,,N,1991,1991,"Bi-level, covered pier with varicolored paving; benches",,,"Paving--yellow, black, and white terrazzo and brushed gray concrete; benches--concrete surfaced with yellow and black terrazzo (?)",,,"Andrea Blum, Design Team Project",Cavaglieri & Sultan,"Economic Development Corporation of the City of New York; Percent for Art, New York City",,,,,,,,,,,1001704.9332539737,226826.84954555333
